iter	Logloss
0	0.6736036624
1	0.6552191205
2	0.6381587266
3	0.6223096189
4	0.6077243856
5	0.5943976766
6	0.5820875467
7	0.5712414992
8	0.5606248885
9	0.5507762607
10	0.5419730115
11	0.533691488
12	0.5265215938
13	0.5192909614
14	0.5128385953
15	0.5065176225
16	0.5008496664
17	0.4957552287
18	0.4910167794
19	0.4867638446
20	0.482686175
21	0.4788436692
22	0.4751749199
23	0.4722786197
24	0.4692813017
25	0.4665056189
26	0.4638463398
27	0.461851509
28	0.4594835262
29	0.4572745143
30	0.4550836406
31	0.4532473947
32	0.4514609684
33	0.4496474169
34	0.4480452534
35	0.4464952372
36	0.4454386394
37	0.4445150443
38	0.4432348136
39	0.442119204
40	0.4410841996
41	0.4401381056
42	0.4392413614
43	0.4383892652
44	0.4376359581
45	0.4366962536
46	0.435855038
47	0.4351431476
48	0.4344532781
49	0.4338380054
50	0.4332348116
51	0.4325077751
52	0.4318053714
53	0.4310341524
54	0.4304298869
55	0.4299998991
56	0.4295044415
57	0.4289654556
58	0.4285756203
59	0.4281284813
60	0.4277341735
61	0.4272691621
62	0.4269091342
63	0.4264403792
64	0.4260524933
65	0.4257729861
66	0.4255250594
67	0.4251879395
68	0.4248225049
69	0.4245790936
70	0.4242840018
71	0.4240017639
72	0.4236403337
73	0.4232630971
74	0.4229845557
75	0.4227046942
76	0.4223961164
77	0.4221692697
78	0.4218093141
79	0.4214789917
80	0.4213126144
81	0.4210360452
82	0.4207869967
83	0.4205917007
84	0.4202529214
85	0.4200936556
86	0.4199212427
87	0.4196768847
88	0.4195153861
89	0.4193074161
90	0.4191535935
91	0.4189643312
92	0.418754812
93	0.4186027796
94	0.4184084579
95	0.4182021173
96	0.4179549733
97	0.4176896287
98	0.4176001775
99	0.4174501845
100	0.4171431577
101	0.4169910756
102	0.4168318976
103	0.4165585049
104	0.4164465159
105	0.416216715
106	0.4160390604
107	0.4158616825
108	0.4157172284
109	0.4154815948
110	0.4153339915
111	0.4151614312
112	0.4149470846
113	0.4147102302
114	0.4145719331
115	0.4144214448
116	0.414272449
117	0.4141398448
118	0.4140254361
119	0.4137295357
120	0.4135987493
121	0.4133881023
122	0.41320227
123	0.4130432194
124	0.4128939974
125	0.4127397318
126	0.4125536479
127	0.4124455557
128	0.4123111759
129	0.4122194758
130	0.4120846827
131	0.411810699
132	0.4115892591
133	0.4114433618
134	0.4113709338
135	0.4111037695
136	0.4109676447
137	0.4108535294
138	0.4107515407
139	0.410589736
140	0.410501069
141	0.4103665131
142	0.4101846297
143	0.4099497195
144	0.4098519412
145	0.4097572935
146	0.4096611713
147	0.409451944
148	0.4092473256
149	0.4091448069
150	0.4089820023
151	0.4089048052
152	0.4087753088
153	0.408637019
154	0.4084853397
155	0.4083706795
156	0.4081595586
157	0.4080531828
158	0.4079771977
159	0.4079212655
160	0.4077085193
161	0.4075889756
162	0.4075122046
163	0.4074557876
164	0.407238687
165	0.4071156005
166	0.4070093257
167	0.4068830895
168	0.4067212361
169	0.4065955424
170	0.4065215799
171	0.4063914072
172	0.4062304422
173	0.4061467005
174	0.4060370407
175	0.4058515153
176	0.4057544313
177	0.4056222888
178	0.405430554
179	0.4053573118
180	0.4052099148
181	0.4050278334
182	0.4049358158
183	0.4047524784
184	0.4046297848
185	0.4045503326
186	0.4044328236
187	0.4042543495
188	0.4041536888
189	0.4040757046
190	0.4040199938
191	0.4038855927
192	0.4037764689
193	0.4035838153
194	0.4034191145
195	0.4033268559
196	0.4032127658
197	0.4030169615
198	0.4028583963
199	0.402761267
200	0.4026732825
201	0.4025477478
202	0.402428654
203	0.4023652113
204	0.4022882286
205	0.4021634216
206	0.4021168663
207	0.4020428492
208	0.4020120655
209	0.4019341173
210	0.4017815259
211	0.4016959525
212	0.4015207375
213	0.4014544848
214	0.4013609784
215	0.4013245737
216	0.4011721615
217	0.4011026761
218	0.4009653347
219	0.4008364612
220	0.4006703384
221	0.4005660202
222	0.4004743662
223	0.400337418
224	0.4001959515
225	0.4000449146
226	0.3998732364
227	0.3997848925
228	0.3995883124
229	0.3994283831
230	0.3992954606
231	0.3990966989
232	0.3989895756
233	0.3989162604
234	0.3987810421
235	0.3987231514
236	0.3986170541
237	0.3984532618
238	0.3982499298
239	0.3982330086
240	0.3980659235
241	0.3979497226
242	0.3977689748
243	0.397645375
244	0.3975405721
245	0.3973838491
246	0.3972760135
247	0.3972220398
248	0.3971828806
249	0.3969865909
250	0.3968932383
251	0.3967884167
252	0.3966555632
253	0.3966191994
254	0.3964844948
255	0.3963096598
256	0.396194426
257	0.3960373294
258	0.3958375078
259	0.3957590329
260	0.3956526067
261	0.3954823036
262	0.3953626712
263	0.3952380654
264	0.395192801
265	0.3950235029
266	0.3949027914
267	0.3948190456
268	0.3946804007
269	0.3945695239
270	0.3944774889
271	0.3943797916
272	0.3942985297
273	0.3940870734
274	0.3940135815
275	0.3939545618
276	0.3938007641
277	0.3936499164
278	0.3935132907
279	0.3934480194
280	0.393335104
281	0.39315072
282	0.3929749012
283	0.3928085644
284	0.3927477137
285	0.3926352301
286	0.3924102603
287	0.3923191949
288	0.3921849524
289	0.3920798659
290	0.3919232366
291	0.3918213629
292	0.391740323
293	0.3916080928
294	0.391560821
295	0.3914374272
296	0.3912398304
297	0.3911305004
298	0.3910300874
299	0.3909067755
300	0.3907873849
301	0.3905944121
302	0.3904069285
303	0.3901366472
304	0.3899727434
305	0.3899012276
306	0.3898034057
307	0.3896989514
308	0.3895992432
309	0.3893910547
310	0.3892085914
311	0.3890804784
312	0.3889044132
313	0.388758378
314	0.3886586826
315	0.3885437045
316	0.3884002128
317	0.3881885145
318	0.3880720822
319	0.3879287796
320	0.3878654879
321	0.3877385565
322	0.3876498435
323	0.3875146617
324	0.3873325264
325	0.3872528599
326	0.3871519209
327	0.387050956
328	0.3869646001
