iter	Passed	Remaining
404	8882	13049
405	8906	13030
406	8926	13006
407	8955	12994
408	8976	12971
409	9002	12955
410	9022	12929
411	9041	12903
412	9060	12877
413	9083	12856
414	9102	12831
415	9122	12807
416	9147	12789
417	9173	12773
418	9197	12753
419	9220	12733
420	9244	12714
421	9265	12691
422	9300	12686
423	9332	12678
424	9350	12651
425	9368	12623
426	9389	12600
427	9408	12573
428	9426	12547
429	9444	12519
430	9463	12493
431	9499	12489
432	9532	12482
433	9554	12459
434	9580	12443
435	9601	12420
436	9624	12400
437	9644	12374
438	9661	12346
439	9686	12328
440	9708	12305
441	9725	12277
442	9740	12247
443	9757	12218
444	9779	12196
445	9799	12172
446	9819	12148
447	9838	12122
448	9859	12098
449	9874	12069
450	9894	12044
451	9910	12015
452	9930	11990
453	9947	11963
454	9978	11952
455	9993	11922
456	10011	11895
457	10028	11867
458	10046	11840
459	10062	11813
460	10087	11793
461	10106	11769
462	10129	11748
463	10160	11737
464	10190	11724
465	10212	11702
466	10233	11680
467	10289	11696
468	10351	11720
469	10370	11694
470	10387	11666
471	10403	11638
472	10421	11611
473	10438	11583
474	10457	11558
475	10475	11532
476	10494	11506
477	10513	11481
478	10531	11455
479	10548	11427
480	10572	11407
481	10595	11386
482	10631	11379
483	10652	11357
484	10671	11332
485	10695	11311
486	10716	11288
487	10734	11262
488	10751	11235
489	10773	11212
490	10792	11187
491	10814	11165
492	10835	11143
493	10859	11123
494	10878	11098
495	10900	11076
496	10920	11052
497	10948	11036
498	10966	11010
499	10990	10990
500	11009	10965
501	11029	10941
502	11045	10914
503	11064	10888
504	11084	10865
505	11106	10842
506	11128	10820
507	11150	10799
508	11176	10781
509	11208	10768
510	11231	10747
511	11255	10727
512	11275	10704
513	11298	10682
514	11321	10661
515	11343	10640
516	11363	10616
517	11388	10596
518	11409	10573
519	11430	10551
520	11448	10525
521	11468	10502
522	11485	10475
523	11504	10450
524	11523	10425
525	11540	10399
526	11561	10376
527	11583	10355
