iter	RMSE
271	0.214089023
272	0.2135067782
273	0.2129773824
274	0.2124723609
275	0.2119096123
276	0.2114718525
277	0.2112036699
278	0.2105976829
279	0.2101198209
280	0.2095086695
281	0.2089155448
282	0.2083310235
283	0.2078657526
284	0.207368598
285	0.2067784702
286	0.2062512354
287	0.2056360596
288	0.2051152602
289	0.204661866
290	0.2042893251
291	0.2041744541
292	0.203800946
293	0.2033816112
294	0.2030192652
295	0.2027016757
296	0.2021237608
297	0.2015821343
298	0.2010556521
299	0.200835393
300	0.2003995432
301	0.1998364672
302	0.1996422776
303	0.1995125441
304	0.1990710428
305	0.1985966409
306	0.1980449208
307	0.1975381988
308	0.1971305948
309	0.1965663544
310	0.1963503309
311	0.195875247
312	0.1952555916
313	0.1949541278
314	0.1946705796
315	0.1945210936
316	0.1939926322
317	0.1935569844
318	0.1930632584
319	0.192671929
320	0.1925563837
321	0.1920770395
322	0.1919590125
323	0.191514489
324	0.1911026282
325	0.1906431599
326	0.1905365803
327	0.1901218098
328	0.1896248075
329	0.189228977
330	0.1886990169
331	0.1884301302
332	0.1880154643
333	0.1876992599
334	0.1873315768
335	0.1871713426
336	0.1866365707
337	0.1862877931
338	0.1856830838
339	0.1851961341
340	0.1847184441
341	0.1843768448
342	0.1842344168
343	0.1834907969
344	0.1832622644
345	0.183075031
346	0.1827605262
347	0.182363893
348	0.1818214279
349	0.1814525666
350	0.181006989
351	0.1805729656
352	0.1798390169
353	0.179471855
354	0.1792336431
355	0.1787621492
356	0.1782366441
357	0.1777922849
358	0.1774805341
359	0.1772045243
360	0.1767904202
361	0.1762805746
362	0.176054999
363	0.1755038954
364	0.1753484493
365	0.1749436701
366	0.1748001981
367	0.1744083078
368	0.1741838604
369	0.1738846855
370	0.1735646234
371	0.1731066537
372	0.1727327697
373	0.1722986221
374	0.1719524752
375	0.1714849564
376	0.1712003967
377	0.170703656
378	0.1703149114
379	0.1699334995
380	0.1696636047
381	0.1691464335
382	0.1689606696
383	0.16862582
384	0.1684967017
385	0.1679650453
386	0.1676286942
387	0.1671854793
388	0.1668254755
389	0.1666853398
390	0.1663238281
391	0.1658790329
392	0.1656570269
393	0.16553813
394	0.1651489603
395	0.1647633888
396	0.1643859102
397	0.1639650207
398	0.1636457165
399	0.1633393288
400	0.1631033458
401	0.1627662766
402	0.1624267334
403	0.1622872627
404	0.1620950828
405	0.1616860898
406	0.1613968934
407	0.1609867026
408	0.1608625594
409	0.1604308025
410	0.160029242
411	0.1596810361
412	0.1593539688
413	0.1589396913
414	0.1587932526
415	0.1585969679
416	0.1584583707
417	0.1582928246
418	0.158119179
419	0.157907657
420	0.1574994968
421	0.1571960009
422	0.1569181569
423	0.1564271585
424	0.1560555669
425	0.1557190794
426	0.1552566144
427	0.1548774506
428	0.1544563857
429	0.1540613581
430	0.1537042263
431	0.1533927148
432	0.1531736779
433	0.1530641594
434	0.152682832
435	0.1524228852
436	0.1520525598
437	0.1516961526
438	0.1513157112
439	0.1511313886
440	0.1507296163
441	0.1505209531
442	0.150111109
443	0.1498154937
444	0.1496606488
445	0.1490388275
446	0.1487927722
447	0.1484720306
448	0.1483866029
449	0.1480122593
450	0.1477114058
451	0.1473958111
452	0.147166024
453	0.1468760502
454	0.1465006943
455	0.1459559908
456	0.1457023032
457	0.1453022585
458	0.1451479614
459	0.1448984961
460	0.1448197399
461	0.1446631944
462	0.1444092771
463	0.1440648508
464	0.1437685452
465	0.1432918054
466	0.1430838144
467	0.1427404215
468	0.1422835024
469	0.1421248532
470	0.1418119677
471	0.1413684957
472	0.1412641929
473	0.1409266971
474	0.1406774292
475	0.1404435334
476	0.1401573662
477	0.1400687138
478	0.1397399518
479	0.1394142318
480	0.139008759
481	0.1388450209
482	0.1385434541
483	0.1382557127
484	0.1378687566
485	0.1374367013
486	0.137190113
487	0.136833437
488	0.1364819967
489	0.1362630877
490	0.1360265377
491	0.1357237675
492	0.1353447359
493	0.1352459881
494	0.1349420764
495	0.1346825672
496	0.1345305552
497	0.134455669
498	0.1340090812
499	0.1339365813
500	0.1337422487
501	0.1334172273
502	0.1331943897
503	0.1329741038
504	0.1328917868
505	0.1326918035
506	0.1324340506
507	0.1320596761
508	0.1318165583
509	0.1317061132
510	0.1314142116
511	0.1312345551
512	0.131017223
513	0.1306584009
514	0.1304027703
515	0.1301732626
516	0.1298147386
517	0.1295837872
518	0.1292439829
519	0.1289640211
520	0.1288795842
521	0.1287162702
522	0.128492405
523	0.1282187594
524	0.1279586851
525	0.1277487983
526	0.127578812
527	0.1273345655
528	0.1271060196
529	0.1269315662
530	0.1267731782
531	0.1265529725
532	0.1261506815
533	0.1259382349
534	0.1258037379
535	0.125608112
536	0.1253492726
537	0.1253248954
538	0.1251774793
539	0.124868172
540	0.124609891
541	0.1243375466
542	0.1242250891
543	0.124019296
544	0.1236655291
545	0.1234929464
546	0.1232937312
547	0.1228678512
548	0.122688523
549	0.122440634
550	0.1220744913
551	0.1219898636
552	0.1218534002
553	0.121520446
554	0.1211423371
555	0.1208547107
556	0.1205856253
557	0.120416243
558	0.1200018563
559	0.119748238
560	0.1194966238
561	0.1193242149
562	0.1192455696
563	0.1189938929
564	0.1186611833
565	0.1184656452
566	0.1182582938
567	0.1180871766
568	0.1180202188
569	0.1178173044
570	0.1177686446
571	0.1176941903
572	0.1175109327
573	0.1172999556
574	0.1172450224
575	0.1170634024
576	0.1168501005
577	0.1167229585
578	0.1166538714
579	0.1165260938
580	0.1163078229
581	0.1161264503
582	0.1158661462
583	0.1156918658
584	0.1155239385
585	0.1152961698
586	0.1150853833
587	0.114951755
588	0.1146319457
589	0.1145181987
590	0.1142415349
591	0.1138999654
592	0.1137180261
593	0.1135119822
594	0.1133452567
595	0.1132865277
596	0.1130148928
597	0.1128675206
598	0.1125448222
599	0.1122107191
600	0.1119709189
601	0.1118471903
602	0.1116748315
603	0.1113570152
604	0.1111454587
605	0.110928122
606	0.1107082831
607	0.1105512659
608	0.110229988
609	0.1100466356
610	0.109841582
611	0.1097423252
612	0.1095068581
613	0.1093674969
614	0.1091255708
615	0.108838866
616	0.1086504186
617	0.1085907362
618	0.1083804059
619	0.1080949465
620	0.1079102688
621	0.107573329
622	0.1075149905
623	0.107208591
624	0.1069289431
625	0.106712773
626	0.1066509909
627	0.1064355182
628	0.1061987768
629	0.1060475962
630	0.1059694638
631	0.1057840818
632	0.1055579362
633	0.1053860556
634	0.105093374
635	0.1048666409
636	0.1045817118
637	0.1044434419
638	0.104237952
639	0.1039828537
640	0.1038345782
641	0.1035146322
642	0.1034009391
643	0.1033738097
644	0.1031444797
645	0.1029350137
646	0.1027304836
647	0.1026080228
648	0.1023930138
649	0.102349424
650	0.1021384506
651	0.1018850815
652	0.1016177335
653	0.101400719
654	0.1013603984
655	0.1013181869
656	0.1011037749
657	0.1008382532
658	0.1006642517
659	0.1005280947
660	0.10039939
661	0.1003233865
662	0.1002835064
663	0.100006267
664	0.09986020274
665	0.09970013034
666	0.09957333952
667	0.09937576622
668	0.09918902854
669	0.09893065059
670	0.09877079428
671	0.09859355288
672	0.09846994386
673	0.09833638689
674	0.09819798952
675	0.09796234113
676	0.09772857942
677	0.09754565381
678	0.09736952326
679	0.09716675556
680	0.0970769284
681	0.09690141591
682	0.09677651931
683	0.09658445942
684	0.09639366372
685	0.09627245677
686	0.09613796343
687	0.09605455179
688	0.09589769315
689	0.0957663502
690	0.09555111383
691	0.0953911651
692	0.09526958525
693	0.09501256706
694	0.09496716707
695	0.09491783125
696	0.09476287354
697	0.09462580239
698	0.09450992293
699	0.09428181367
700	0.09417577568
701	0.09404898902
702	0.09380323936
703	0.09365111258
704	0.09340124331
705	0.09319394137
706	0.09304358198
707	0.09295405826
708	0.09279172976
709	0.09258201267
710	0.09245389844
711	0.09228627372
712	0.09214583697
713	0.09193824994
714	0.09182775236
715	0.09167887322
716	0.09148705965
717	0.09137083822
718	0.0912175522
719	0.09105187539
720	0.09096740963
721	0.09081383235
722	0.09057828715
723	0.09045592236
724	0.09032140654
725	0.09015765591
726	0.08998514636
727	0.08981559738
728	0.08975039218
729	0.08958392059
730	0.08943922644
731	0.089280285
732	0.08902610643
733	0.08895331305
734	0.08875524838
735	0.08862813079
736	0.0885478922
737	0.0883616969
738	0.0881005467
739	0.08788646497
740	0.08774249639
741	0.08762620152
742	0.08753125053
743	0.08729748199
744	0.08709895044
745	0.08690370199
746	0.08682365636
747	0.0867116183
748	0.08659772445
749	0.08645853592
750	0.08629226263
751	0.08610922063
752	0.08594965716
753	0.0858076177
754	0.08568600385
755	0.08559653453
756	0.08543357363
757	0.08527056305
758	0.08521354114
759	0.08506261743
760	0.08493809168
761	0.08482563685
762	0.08478609399
763	0.08455137844
764	0.08432043495
765	0.08409880197
766	0.08398250424
767	0.08382250078
768	0.08376111438
769	0.08361879185
770	0.08357927433
771	0.08354363266
772	0.08339575992
773	0.08320700574
774	0.08303062274
775	0.08282166713
776	0.08266391858
777	0.0825185388
778	0.08240171124
779	0.0821707909
780	0.08199966393
781	0.08190824702
782	0.08176692589
783	0.08159593581
784	0.08156348457
785	0.08144754635
786	0.08135801323
787	0.08126465597
788	0.08110316936
789	0.0809377485
790	0.08080197688
791	0.08072854634
792	0.08064579451
793	0.08054442922
794	0.08043675694
795	0.08029398961
796	0.08017384318
797	0.08013142529
798	0.08010111948
799	0.07996903177
800	0.07984734136
801	0.07970728131
802	0.07959134479
803	0.07944843216
804	0.07936367513
805	0.07929022323
806	0.07913587688
807	0.07901987397
808	0.07880109962
809	0.07868641317
810	0.07850605418
811	0.07834695501
812	0.07827880181
813	0.07817210227
814	0.07814567202
815	0.07800072917
816	0.07787274756
817	0.07766728289
818	0.07755394765
819	0.07739261919
820	0.07720158523
821	0.07706585507
822	0.07694148857
823	0.07682673522
824	0.07667168574
825	0.07654425583
826	0.07640051753
827	0.07619609379
828	0.07615747772
829	0.07605643293
830	0.07603164149
831	0.07591710239
832	0.07587132147
833	0.07572448179
834	0.07564633311
835	0.07556515352
836	0.07548368902
837	0.07537783326
838	0.07524667401
839	0.07505046754
840	0.0749870505
841	0.07484483011
842	0.07469911562
843	0.07451454795
844	0.07439642121
845	0.0743332144
846	0.07417158027
847	0.07404211824
848	0.07393812375
849	0.07385556279
850	0.07376596255
851	0.07364135538
852	0.07350916039
853	0.07340593521
854	0.07330736497
855	0.07316260764
856	0.07305365638
857	0.0729572781
858	0.07289104831
859	0.07279788926
860	0.07263573633
861	0.07248728861
862	0.0723009617
863	0.07220444052
864	0.07211588072
865	0.07205265974
866	0.07195317136
867	0.07189907684
868	0.07179694912
869	0.07166453369
870	0.07156585245
871	0.07153815443
872	0.07140244164
873	0.07126622193
874	0.0711589091
875	0.07107007684
876	0.07089327249
877	0.0708122864
878	0.07062737219
879	0.07053374963
880	0.07049658865
881	0.07038229647
882	0.07025655726
883	0.07020629779
884	0.07016348389
885	0.07005271221
886	0.0699313949
887	0.06982715995
888	0.06971404302
889	0.06957873295
890	0.06942441967
891	0.06939933518
892	0.06936388311
893	0.06923086639
894	0.06909076295
895	0.06901243322
896	0.06894209602
897	0.06886975409
898	0.06870020677
899	0.06857132371
900	0.06851313989
901	0.06834122133
902	0.06822872444
903	0.06814253892
904	0.06802782505
905	0.06794653479
906	0.06790975479
907	0.06781638806
908	0.06775928593
909	0.0676167823
910	0.06750946928
911	0.06739630515
912	0.06731221154
913	0.06721101632
914	0.06716179233
915	0.06711882928
916	0.06699379039
917	0.06684471417
918	0.06672219619
919	0.0666102491
920	0.06652264446
921	0.06633897001
922	0.06615543544
923	0.06612604858
924	0.06609926663
925	0.06599180946
926	0.06586199027
927	0.06573012918
928	0.06556338083
929	0.0654387854
930	0.06536127315
931	0.06530822608
932	0.06518121381
933	0.06510371585
934	0.06503145034
935	0.06490467794
936	0.0647960252
937	0.06465069316
938	0.06457308604
939	0.06443088666
940	0.06430207859
941	0.06418443317
942	0.06414854434
943	0.06397443264
944	0.06395205643
945	0.06383275732
946	0.063752249
947	0.06370233941
948	0.06357529695
949	0.06344910014
950	0.06331296599
951	0.06321432685
952	0.06305485186
953	0.06288658603
954	0.06281181153
955	0.06268784026
956	0.06255320726
957	0.06247558239
958	0.06242944597
959	0.0622713528
960	0.06224689457
961	0.06210956897
962	0.062014625
963	0.06193245505
964	0.06183207103
965	0.06180463052
966	0.06168811804
967	0.06156497428
968	0.06142137471
969	0.06126549099
970	0.06113397129
971	0.06107525496
972	0.06094952833
973	0.06087651621
974	0.06073942696
975	0.06067613293
976	0.06055820347
977	0.06044213035
978	0.06035035428
979	0.0602603802
980	0.06019341295
981	0.06008722553
982	0.06000666083
983	0.05996800817
984	0.05978542857
985	0.05971932729
986	0.05962155287
987	0.05954897731
988	0.05944393168
989	0.05934002125
990	0.05925507782
991	0.0591359435
992	0.05906126984
993	0.05896520648
994	0.05888368156
995	0.05886035401
996	0.05880983244
997	0.05877392501
998	0.05865139988
999	0.05852924058
